policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown,worst_regime_return,regime_gap
RSEP-full,873770,51983.33056678832,-122646.72922871874,174630.05979550714,9744.64634768926,-0.1403650036379353,-2.3593472732791123,-122646.52911622134,-64999.54489473688,64998.45213333185
RSEP-no-latency-risk,925696,53973.94437050949,-131038.1979913744,185012.1423618839,10321.485065913072,-0.141556405117203,-2.427804740225204,-131037.99787887654,-69444.32696080935,69443.03952684878
RSEP-no-liquidity-risk,1376264,82930.50236986199,-192136.81452354757,275067.31689340965,15309.696496587434,-0.1396075277152839,-2.316841319333097,-192136.61441104827,-75479.4173309887,75468.17168685854
RSEP-no-adverse-risk,1535701,89622.36797350974,-217306.20790449396,306928.5758780039,17108.835644646704,-0.1415029409399967,-2.4246871938122023,-217306.00779200785,-70887.92055381821,70884.41812256126
RSEP-no-regime-penalty,1344189,78198.11472696422,-190460.37366639383,268658.4883933581,14956.13433212078,-0.141691662159409,-2.435613369087009,-190460.17355389672,-69532.73539366895,69532.02941009845
