model,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,test_rows,best_policy,best_policy_net_pnl,best_policy_n_trades,rsep_vs_cost_aware_mean_diff,rsep_vs_cost_aware_ci_low,rsep_vs_cost_aware_ci_high,best_validation_policy,best_validation_net_pnl,best_validation_n_trades
sgd_stage3,0.5589236233088135,0.4651938936393822,0.5352928708538465,0.2363343627718826,0.4637370420120062,33550262,RSEP-full,-4437.492424989721,33713,68.52514254066054,59.67645950648641,77.22922570561714,RSEP-full,-717.5373259006718,5868
xgboost_gpu_stage3,0.5676637040867222,0.4562407660052441,0.532080181021275,0.2363690740470592,0.4554957887412827,33550262,RSEP-full,-4303.192190442313,36360,2.9415342854848308,1.0723368611951716,4.927118205265525,RSEP-full,-492.4482467691277,4050
tcn_gpu_stage3,0.5281819498872293,0.4688776156382125,0.5285413347492102,0.2274774057999311,0.469199602192841,3354594,RSEP-full,-128.4293425721194,619,1.495077138619905,0.022912905987358,3.5549921488370075,RSEP-full,-244.41208573487813,1716
tcn_gpu_stage3_stride1,0.5281071238532205,0.46877523513671043,0.5284518616754605,0.2273893800677564,0.4690906852368227,33543827,cost_aware_threshold,-787.9979672806533,4570,-0.4025987989057581,-4.460466065997088,4.449435357469534,RSEP-full,-389.6664334571571,2982
