model,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
sgd,BALANCED_TRANSITION,0.6439038272636305,0.4559439019158979,0.5925836919616163,0.27174853250857406,0.45041536044078573,544645
sgd,CALM_ILLIQUID,0.4679979518689196,0.4340544272348601,0.45965335845388156,0.13806671102452278,0.4340413011192978,1953
sgd,CALM_LIQUID,0.6751233602118185,0.39605162043166825,0.5983105828080393,0.20563481102441408,0.40074730676430165,249270
sgd,CHOPPY_MEAN_REVERTING,0.4468852345454755,0.3326537698327749,0.3963454782395157,0.0870488535864249,0.3748571656165523,259843
sgd,LIQUIDITY_DROUGHT,0.5922017003811199,0.4742273101966025,0.5555977294394076,0.2732911161686416,0.47196863756690616,37521
sgd,MILD_LIQUIDITY_STRESS,0.6461390168148228,0.45493020022847075,0.5946935363048893,0.269337195369323,0.449031033435366,485524
sgd,MOMENTUM_TOXIC,0.5585670984497382,0.4952961224076566,0.5392860388671513,0.28393316733401924,0.49545046477277616,437797
sgd,SHOCK_RECOVERY,0.5597285572805513,0.5030971171755091,0.5496392008047724,0.28621689838840775,0.5016454374087628,286764
sgd,UNKNOWN,0.5680545574091347,0.4843747096472693,0.5414125547372669,0.27582683267704733,0.4837457312780194,326995
sgd,VOLATILE_ILLIQUID,0.44142079633342884,0.37267683805775914,0.4164951956671509,0.07754453962430402,0.38088956076623015,3491
sgd,VOLATILE_LIQUID,0.5981553689262148,0.44476660906950377,0.5644246323504375,0.1936350250358632,0.4371853225185582,13336
